"Bucket","Metric","Value","Source"
"A","FC - cargo test","94 passed / 0 failed","cargo test (this run)"
"A","FC - differential","IDENTICAL (0 mismatches)","go build + rust + diff prog.monkey"
"A","MS - STR (% safe)","100 %","1 - unsafe_lines/code_lines"
"A","MS - UBR","0","unsafe_blocks/functions (0/132)"
"A","MT - Annotation Overhead","26.9 %","comment_LOC/code_LOC (554/2056)"
"A","MT - Cyclomatic (proxy)","6 avg","decision_points/functions+1 (656/132)"
"A","TD - Direct deps (DCD)","0","Cargo.toml [dependencies]"
"A","TD - Transitive (DGS)","0","cargo tree"
"A","TD - Ecosystem coverage (EC)","100 % (0 deps - trivially complete)","DCD=0 => complete"
"A","ID - Clippy lint density","0 warnings ; 0 /KLOC (baseline 21/KLOC)","cargo clippy / KLOC"
"A","LOCD - LOC delta (code)","1.019x","rust_code/go_code (2056/2017)"
"A","LOCD - LOC delta (physical)","1.091x","rust_phys/go_phys (2938/2693)"
"B","TE - total src code LOC","2056","sum of per-file code LOC"
"B","TE - iterations / hours","from dev log (Appendix A)","manual daily log"
"B","AFR (documented)","0.44 % (9 transpiler-side lines / 2056 code LOC) - from dev trace","development trace"
"B","CMS (manual classification)","mappable 100 % (22/22) ; weighted 0.76 - see construct_mappability.md","analyst judgement (construct table)"
"B","TME - toolchain migration","Cargo.toml 30 lines <- go.mod 2 lines ; deps ported = 0","manifest line counts"
"info","Rust test LOC (physical/code)","2440/2093","tests/"
